2513Ref,308497.341,5811515.053,24.487,-37.82370008,144.8241399,CENTRE_SQUARE_MANHOLE_COVER,,,,,,
2513,NA,60,1,L1,308747.265,5811593.595,18.673,3.486,249.924,78.542,-37.82304509,144.8269984
2513,NA,60,2,L1,308687.623,5811570.965,19.928,3.416,190.282,55.912,-37.82323641,144.8263152
2513,NA,60,3,L1,308646.715,5811554.833,21.369,3.56,149.374,39.78,-37.82337313,144.8258465
2513,NA,60,4,L1,308630.036,5811547.691,21.851,3.508,132.695,32.638,-37.82343395,144.8256552
2513,NA,60,5,L1,308618.401,5811542.434,22.153,3.525,121.06,27.381,-37.82347886,144.8255217
2513,NA,60,6,L1,308593.46,5811530.27,22.793,3.595,96.119,15.217,-37.82358319,144.8252353
2513,NA,60,7,L1,308580.808,5811523.565,23.018,3.617,83.467,8.512,-37.82364092,144.8250899
2513,NA,60,8,L1,308566.541,5811515.577,23.268,3.439,69.2,0.524,-37.82370988,144.8249257
2513,NA,60,9,L1,308552.558,5811507.138,23.473,3.4,55.217,-7.915,-37.82378295,144.8247647
2513,NA,60,10,L1,308544.182,5811501.739,23.536,3.443,46.841,-13.314,-37.82382982,144.8246682
2513,NA,60,11,L1,308528.963,5811491.48,23.645,3.163,31.622,-23.573,-37.82391903,144.8244927
2513,NA,60,12,L1,308513.847,5811480.67,23.819,3.081,16.506,-34.383,-37.82401322,144.8243182
2513,NA,60,13,L1,308501.938,5811471.658,23.958,3.262,4.597,-43.395,-37.82409189,144.8241806
2513,NA,60,14,L1,308491.893,5811463.725,24.14,3.223,-5.448,-51.328,-37.82416123,144.8240644
2513,NA,60,15,L1,308481.141,5811454.881,24.385,3.51,-16.2,-60.172,-37.82423863,144.82394
2513,NA,60,16,L1,308468.742,5811444.166,24.9,3.362,-28.599,-70.887,-37.82433253,144.8237964
2513,NA,60,17,L1,308455.088,5811431.614,25.708,3.576,-42.253,-83.439,-37.82444272,144.823638
2513,NA,60,18,L1,308436.05,5811413.117,27.062,3.791,-61.291,-101.936,-37.82460532,144.823417
2513,NA,60,19,L1,308421.024,5811397.165,28.28,3.79,-76.317,-117.888,-37.82474583,144.8232421
2513,NA,60,20,L1,308404.86,5811378.959,29.554,3.737,-92.481,-136.094,-37.82490642,144.8230538
2513,NA,60,21,L1,308252.583,5811204.46,32.994,3.549,-244.758,-310.593,-37.82644608,144.8212785
2513,NA,60,22,L1,308236.102,5811185.024,32.325,3.322,-261.239,-330.029,-37.82661767,144.8210862
2513,NA,61,1,L2,308745.592,5811596.841,18.62,3.774,248.251,81.788,-37.8230155,144.8269803
2513,NA,61,2,L2,308730.409,5811591.232,18.84,4.04,233.068,76.179,-37.82306284,144.8268064
2513,NA,61,3,L2,308678.119,5811571.144,20.319,3.736,180.778,56.091,-37.8232328,144.8262073
2513,NA,61,4,L2,308645.368,5811558.191,21.45,3.675,148.027,43.138,-37.8233426,144.8258321
2513,NA,61,5,L2,308623.844,5811548.866,22.079,3.616,126.503,33.813,-37.82342207,144.8255852
2513,NA,61,6,L2,308612.883,5811543.781,22.357,3.543,115.542,28.728,-37.82346557,144.8254594
2513,NA,61,7,L2,308593.637,5811534.399,22.847,3.65,96.296,19.346,-37.82354604,144.8252384
2513,NA,61,8,L2,308570.982,5811522.233,23.242,3.543,73.641,7.18,-37.82365086,144.8249779
2513,NA,61,9,L2,308555.275,5811512.954,23.514,3.62,57.934,-2.099,-37.82373114,144.8247971
2513,NA,61,10,L2,308542.244,5811504.632,23.614,3.521,44.903,-10.421,-37.82380336,144.824647
2513,NA,61,11,L2,308528.653,5811495.416,23.75,3.615,31.312,-19.637,-37.82388351,144.8244902
2513,NA,61,12,L2,308518.825,5811488.447,23.821,3.645,21.484,-26.606,-37.82394422,144.8243768
2513,NA,61,13,L2,308499.789,5811474.372,24.111,3.661,2.448,-40.681,-37.82406699,144.8241569
2513,NA,61,14,L2,308492.713,5811468.809,24.215,3.728,-4.628,-46.244,-37.82411561,144.8240751
2513,NA,61,15,L2,308477.21,5811456.052,24.558,3.415,-20.131,-59.001,-37.82422725,144.8238957
2513,NA,61,16,L2,308456.77,5811438.011,25.614,3.464,-40.571,-77.042,-37.82438545,144.8236588
2513,NA,61,17,L2,308433.417,5811415.769,27.244,3.683,-63.924,-99.284,-37.82458088,144.8233878
2513,NA,61,18,L2,308423.809,5811405.748,27.999,3.743,-73.532,-109.305,-37.82466912,144.823276
2513,NA,61,19,L2,308402.395,5811381.902,29.631,3.846,-94.946,-133.151,-37.82487939,144.8230266
2513,NA,61,20,L2,308348.276,5811319.514,33.031,3.555,-149.065,-195.539,-37.82542993,144.8223955
2513,NA,61,21,L2,308246.719,5811203.201,32.813,3.642,-250.622,-311.852,-37.82645619,144.8212116
2513,NA,61,22,L2,308233.884,5811187.696,32.386,3.503,-263.457,-327.357,-37.82659314,144.8210617
2513,Exit,62,1,SR,308478.529,5811465.488,24.432,4.58,-18.812,-49.565,-37.82414254,144.8239132
2513,Exit,62,2,SR,308452.766,5811441.937,25.534,3.838,-44.575,-73.116,-37.82434925,144.8236144
2513,Exit,62,3,SR,308438.634,5811427.23,26.601,4.33,-58.707,-87.823,-37.82447875,144.82345
2513,Exit,62,4,SR,308421.16,5811408.531,27.992,3.926,-76.181,-106.522,-37.82464349,144.8232467
2513,Exit,62,5,SR,308403.851,5811388.51,29.364,2.741,-93.49,-126.543,-37.82482018,144.8230448
2513,Exit,62,6,SR,308364.016,5811340.468,32.252,0,-133.325,-174.585,-37.82524451,144.8225798
2513,Exit,63,1,L1,308476.732,5811482.62,24.521,6.701,-20.609,-32.433,-37.82398786,144.8238973
2513,Exit,63,2,L1,308464.909,5811500.813,24.726,3.263,-32.432,-14.24,-37.82382153,144.8237679
2513,Exit,63,3,L1,308431.744,5811543.925,25.488,2.987,-65.597,28.872,-37.82342627,144.8234027
2513,Exit,63,4,L1,308418.73,5811563.856,25.768,3.393,-78.611,48.803,-37.82324403,144.8232602
2513,Exit,63,5,L1,308412.603,5811571.942,25.906,3.259,-84.738,56.889,-37.82316991,144.8231928
2513,Exit,64,1,L2,308480.719,5811485.837,24.531,3.438,-16.622,-29.216,-37.82395973,144.8239434
2513,Exit,64,2,L2,308478.663,5811488.18,24.56,3.073,-18.678,-26.873,-37.82393819,144.8239207
2513,Exit,64,3,L2,308433.961,5811545.654,25.55,2.636,-63.38,30.601,-37.82341116,144.8234283
2513,Exit,64,4,L2,308429.795,5811551.863,25.626,2.262,-67.546,36.81,-37.82335437,144.8233827
2513,Exit,64,5,L2,308421.744,5811565.277,25.763,3.199,-75.597,50.224,-37.82323186,144.8232948
2513,Exit,64,6,L2,308415.144,5811573.911,25.903,3.17,-82.197,58.858,-37.82315271,144.8232221
2513,NA,65,1,L1,308709.284,5811318.149,21.329,3.318,211.943,-196.904,-37.82551798,144.8264943
2513,NA,65,2,L1,308675.147,5811317.132,21.993,3.377,177.806,-197.921,-37.82551998,144.8261065
2513,NA,65,3,L1,308657.968,5811317.118,22.295,3.194,160.627,-197.935,-37.8255165,144.8259114
2513,NA,65,4,L1,308635.199,5811317.678,22.604,3.248,137.858,-197.375,-37.82550669,144.825653
2513,NA,65,5,L1,308561.036,5811320.168,23.479,3.711,63.695,-194.885,-37.8254687,144.8248116
2513,NA,65,6,L1,308530.393,5811320.588,23.918,3.585,33.052,-194.465,-37.82545849,144.8244637
2513,NA,65,7,L1,308486.573,5811319.987,24.54,3.472,-10.768,-195.066,-37.82545471,144.823966
2513,NA,65,8,L1,308442.957,5811319.008,25.032,3.492,-54.384,-196.045,-37.82545437,144.8234705
2513,NA,65,9,L1,308394.173,5811316.852,25.336,3.172,-103.168,-198.201,-37.82546355,144.822916
2513,NA,65,10,L1,308372.575,5811315.541,25.437,3.153,-124.766,-199.512,-37.82547082,144.8226704
2513,NA,65,11,L1,308350.221,5811313.741,25.575,3.28,-147.12,-201.312,-37.82548234,144.8224161
2513,NA,65,12,L1,308334.462,5811312.142,25.722,3.243,-162.879,-202.911,-37.82549343,144.8222367
2513,NA,65,13,L1,308311.201,5811309.31,26.069,3.19,-186.14,-205.743,-37.82551405,144.8219719
2513,NA,65,14,L1,308285.636,5811305.63,26.639,3.233,-211.705,-209.423,-37.82554182,144.8216806
2513,NA,65,15,L1,308262.731,5811301.828,27.287,3.197,-234.61,-213.225,-37.82557125,144.8214195
2513,NA,65,16,L1,308241.472,5811297.787,27.974,3.252,-255.869,-217.266,-37.82560318,144.8211771
2513,NA,65,17,L1,308213.193,5811291.931,28.985,3.157,-284.148,-223.122,-37.82564998,144.8208544
2513,NA,66,1,L2,308709.374,5811314.782,21.4,3.421,212.033,-200.271,-37.82554832,144.8264945
2513,NA,66,2,L2,308675.154,5811313.813,22.074,3.261,177.813,-201.24,-37.82554988,144.8261057
2513,NA,66,3,L2,308654.902,5811313.627,22.427,3.853,157.561,-201.426,-37.8255473,144.8258757
2513,NA,66,4,L2,308569.94,5811316.094,23.431,3.988,72.599,-198.959,-37.82550726,144.8249116
2513,NA,66,5,L2,308556.746,5811316.342,23.573,4.138,59.405,-198.711,-37.82550226,144.8247618
2513,NA,66,6,L2,308530.403,5811316.41,23.869,4.77,33.062,-198.643,-37.82549612,144.8244627
2513,NA,66,7,L2,308439.475,5811315.282,24.943,3.734,-57.866,-199.771,-37.8254872,144.82343
2513,NA,66,8,L2,308418.106,5811314.683,25.067,3.379,-79.235,-200.37,-37.82548811,144.8231872
2513,NA,66,9,L2,308389.943,5811313.429,25.254,3.23,-107.398,-201.624,-37.82549349,144.8228671
2513,NA,66,10,L2,308365.438,5811311.787,25.378,3.257,-131.903,-203.266,-37.82550313,144.8225884
2513,NA,66,11,L2,308340.981,5811309.584,25.56,3.178,-156.36,-205.469,-37.82551784,144.8223101
2513,NA,66,12,L2,308323.516,5811307.61,25.79,3.209,-173.825,-207.443,-37.82553195,144.8221112
2513,NA,66,13,L2,308299.555,5811304.465,26.218,3.217,-197.786,-210.588,-37.82555524,144.8218383
2513,NA,66,14,L2,308280.016,5811301.5,26.7,3.168,-217.325,-213.553,-37.82557784,144.8216157
2513,NA,66,15,L2,308262.705,5811298.554,27.205,3.232,-234.636,-216.499,-37.82560074,144.8214184
2513,NA,66,16,L2,308238.967,5811293.994,28,3.236,-258.374,-221.059,-37.82563682,144.8211476
2513,NA,66,17,L2,308213.498,5811288.717,28.965,3.256,-283.843,-226.336,-37.82567899,144.820857
2513,NA,67,1,L5,308709.705,5811303.138,21.613,3.334,212.364,-211.915,-37.82565326,144.8264952
2513,NA,67,2,L5,308677.733,5811302.105,22.213,3.428,180.392,-212.948,-37.82565587,144.8261319
2513,NA,67,3,L5,308651.932,5811300.909,22.668,3.366,154.591,-214.144,-37.82566123,144.8258386
2513,NA,67,4,L5,308519.523,5811293.377,23.698,3.412,22.182,-221.676,-37.82570129,144.8243331
2513,NA,67,5,L5,308492.754,5811291.438,23.797,3.351,-4.587,-223.615,-37.82571314,144.8240286
2513,NA,67,6,L5,308479.794,5811290.249,23.782,3.324,-17.547,-224.804,-37.82572113,144.8238812
2513,NA,67,7,L5,308457.887,5811287.844,23.854,3.3,-39.454,-227.209,-37.82573819,144.8236318
2513,NA,67,8,L5,308433.261,5811284.587,23.886,3.323,-64.08,-230.466,-37.82576235,144.8233513
2513,NA,67,9,L5,308409.901,5811280.934,23.903,3.3,-87.44,-234.119,-37.82579035,144.8230851
2513,NA,67,10,L5,308375.834,5811274.638,24.032,3.315,-121.507,-240.415,-37.8258399,144.8226966
