17000Ref,302598.399,5814305.236,51.029,-37.79731401,144.7579227,CENTRE_SQUARE_MANHOLE_COVER,,,,,,
17000,NA,59,18,L1,302686.974,5814308.27,50.668,1.381,88.575,3.034,-37.79730583,144.7589289
17000,NA,59,19,L1,302729.586,5814304.368,50.463,0,131.187,-0.868,-37.79735017,144.7594115
17000,NA,60,1,STOP_LINE,302340.416,5814416.192,56.412,0,-257.983,110.956,-37.79625893,144.7550249
17000,NA,60,2,STOP_LINE,302344.339,5814421.954,56.205,0,-254.06,116.718,-37.79620788,144.755071
17000,NA,61,1,L1,302279.359,5814473.69,55.914,3.431,-319.04,168.454,-37.79572787,144.7543476
17000,NA,61,2,L1,302292.516,5814460.841,56.094,3.445,-305.883,155.605,-37.79584644,144.7544934
17000,NA,61,3,L1,302298.742,5814455.122,56.178,3.429,-299.657,149.886,-37.79589929,144.7545625
17000,NA,61,4,L1,302309.955,5814445.425,56.26,3.454,-288.444,140.189,-37.79598905,144.7546871
17000,NA,61,5,L1,302325.08,5814433.449,56.304,3.457,-273.319,128.213,-37.79610019,144.7548555
17000,NA,61,6,L1,302343.384,5814420.558,56.256,3.384,-255.015,115.322,-37.79622025,144.7550598
17000,NA,62,1,L2,302273.88,5814474.331,55.966,3.574,-324.519,169.095,-37.79572091,144.7542856
17000,NA,62,2,L2,302279.14,5814468.885,56.041,3.596,-319.259,163.649,-37.7957711,144.7543438
17000,NA,62,3,L2,302287.801,5814460.463,56.156,3.541,-310.598,155.227,-37.79584882,144.7544398
17000,NA,62,4,L2,302297.268,5814451.78,56.281,3.527,-301.131,146.544,-37.79592907,144.7545449
17000,NA,62,5,L2,302306.07,5814444.146,56.337,3.49,-292.329,138.91,-37.79599973,144.7546427
17000,NA,62,6,L2,302316.483,5814435.676,56.403,3.421,-281.916,130.44,-37.79607827,144.7547586
17000,NA,62,7,L2,302322.733,5814430.903,56.403,3.429,-275.666,125.667,-37.79612261,144.7548282
17000,NA,62,8,L2,302331.018,5814424.851,56.394,3.511,-267.381,119.615,-37.79617891,144.7549206
17000,NA,62,9,L2,302341.425,5814417.675,56.359,3.586,-256.974,112.439,-37.79624579,144.7550367
