2512Ref,308984.841,5811690.04,22,-37.8222262,144.8297214,CENTRE_ROUND_MANHOLE_COVER,,,,,,
2512,Exit,62,1,L1,309007.349,5811679.596,22.013,3.424,22.508,-10.444,-37.82232497,144.8299742
2512,Exit,62,2,L1,309007.15,5811677.583,21.942,3.36,22.309,-12.457,-37.82234306,144.8299714
2512,Exit,62,3,L1,309007.324,5811676.691,21.915,3.802,22.483,-13.349,-37.82235113,144.8299731
2512,Exit,62,4,L1,309006.092,5811662.486,21.612,4.001,21.251,-27.554,-37.82247881,144.8299554
2512,Exit,62,5,L1,309004.535,5811650.193,21.535,3.485,19.694,-39.847,-37.82258921,144.8299345
2512,Exit,62,6,L1,309000.541,5811611.188,21.564,3.595,15.7,-78.852,-37.82293968,144.8298788
2512,Exit,62,7,L1,308998.313,5811586.689,21.692,4.295,13.472,-103.351,-37.82315987,144.8298471
2512,Exit,62,8,L1,308997.417,5811581.759,21.752,3.525,12.576,-108.281,-37.82320408,144.8298356
2512,Exit,62,9,L1,308988.217,5811490.608,22.04,3.481,3.376,-199.432,-37.82402312,144.8297071
2512,Exit,63,1,L2,309003.88,5811677.763,21.907,3.166,19.039,-12.277,-37.82234076,144.8299343
2512,Exit,63,2,L2,308984.849,5811491.019,22.139,3.302,0.008,-199.021,-37.82401872,144.829669
2512,Exit,64,1,L3,308991.082,5811584.258,22.053,3.327,6.241,-105.782,-37.82318025,144.8297643
2512,Exit,64,2,L3,308981.562,5811491.461,22.211,3.327,-3.279,-198.579,-37.82401405,144.8296318
2512,Exit,64,3,L3,308986.089,5811537.557,22.022,3.544,1.248,-152.483,-37.82359982,144.8296953
2512,Exit,64,4,L3,308986.049,5811537.251,22.013,3.509,1.208,-152.789,-37.82360257,144.8296948
2512,Exit,64,5,L3,308987.181,5811545.732,21.987,3.002,2.34,-144.308,-37.82352642,144.8297099
2512,Exit,64,6,L3,308991.076,5811585.193,21.85,5.819,6.235,-104.847,-37.82317182,144.8297645
2512,Exit,64,7,L3,308990.787,5811582.939,21.855,3.448,5.946,-107.101,-37.82319207,144.8297606
2512,Exit,64,8,L3,309000.548,5811674.86,21.794,2.981,15.707,-15.18,-37.8223662,144.8298957
2512,Exit,64,9,L3,308991.145,5811583.185,21.961,2.981,6.304,-106.855,-37.82318992,144.8297648
2512,Exit,65,1,L3,309000.669,5811676.021,21.803,2.981,15.828,-14.019,-37.82235577,144.8298974
2512,Exit,65,2,L3,308990.792,5811582.986,21.855,3.446,5.951,-107.054,-37.82319164,144.8297607
2512,Exit,65,3,L3,308990.911,5811582.369,21.85,3.076,6.07,-107.671,-37.82319723,144.8297619
2512,Exit,65,4,L3,308987.183,5811545.749,21.987,3.002,2.342,-144.291,-37.82352627,144.8297099
2512,Exit,65,5,L3,308986.067,5811537.42,22.012,3.493,1.226,-152.62,-37.82360105,144.829695
2512,Exit,65,6,L3,308981.558,5811491.421,22.211,3.328,-3.283,-198.619,-37.82401441,144.8296317
2512,Exit,66,1,RT1,308984.313,5811537.519,22.039,0,-0.528,-152.521,-37.82359979,144.8296751
2512,Exit,66,2,RT1,308979.764,5811506.444,22.225,3.221,-5.077,-183.596,-37.82387872,144.8296153
2512,Exit,66,3,RT1,308978.241,5811491.826,22.311,3.354,-6.6,-198.214,-37.82401007,144.8295941
